2024/12/19,4,7,2,16,69
2024/12/17,4,8,1,13,71
2024/12/16,2,4,4,24,63
2024/12/15,2,5,4,24,62
2024/12/15,1,4,4,26,62
2024/12/14,2,5,3,24,63
2024/12/14,2,5,4,22,66
2024/12/14,2,4,5,27,59
2024/12/13,1,5,4,28,60
2024/12/13,2,4,4,25,63
2024/12/12,1,5,5,29,57
2024/12/10,1,5,4,27,60
2024/12/09,1,6,4,29,58
2024/12/08,1,4,4,25,62
2024/12/08,2,5,5,27,58
2024/12/07,1,5,4,25,61
2024/12/07,2,4,4,22,65
2024/12/07,2,5,4,22,65
2024/12/06,1,5,4,23,65
2024/12/06,2,4,5,28,58
2024/12/05,3,6,4,20,66
2024/12/02,2,5,5,25,61
2024/12/01,2,6,4,24,62